OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3644,2022-025AH,2026-06-28T14:00:01.000224,15.27737979,.00014894,53.1600,259.8548,90.2905,114.9119,0,U,51987,999,579,.34222958E-2,.9484E-3,0
STARLINK-3640,2022-025AJ,2026-06-28T12:22:55.940736,15.08831037,.00011252,53.1592,261.4362,87.8488,272.2632,0,U,51988,999,23779,.26199541E-4,.129E-5,0
STARLINK-3642,2022-025AK,2026-06-28T14:00:01.000224,15.31524406,.00017518,53.1608,259.9061,72.0321,129.6308,0,U,51989,999,579,.24005511E-2,.74464E-3,0
STARLINK-3657,2022-025AL,2026-06-28T10:23:42.002592,15.08832747,.00008047,53.1590,241.8079,86.5200,273.5883,0,U,51990,999,23805,.71869641E-4,.856E-5,0
STARLINK-3652,2022-025AM,2026-06-28T14:00:01.000224,15.25612009,.00016992,53.1591,259.9634,91.6591,117.8457,0,U,51991,999,569,.36233284E-2,.94153E-3,0
STARLINK-3643,2022-025AN,2026-06-28T14:00:01.000224,15.14220921,.00016429,53.1584,241.0609,96.0822,98.7844,0,U,51992,999,569,.40661E-2,.75638E-3,0
STARLINK-3648,2022-025AP,2026-06-28T12:17:37.998240,15.08831276,.0000898,53.1591,261.4536,79.1963,280.9129,0,U,51993,999,23779,.21092983E-4,.48E-6,0
STARLINK-3647,2022-025AQ,2026-06-28T11:37:53.669280,15.08829028,.00011114,53.1580,241.5760,86.6476,273.4643,0,U,51994,999,23764,.58993577E-4,.651E-5,0
STARLINK-3636,2022-025AR,2026-06-28T14:00:01.000224,15.16921539,.00021465,53.1591,241.0019,83.3420,102.2807,0,U,51995,999,580,.37224002E-2,.74738E-3,0
STARLINK-3538,2022-025AS,2026-06-28T14:00:01.000224,15.17798149,.00008083,53.1605,240.9519,142.9661,149.0430,0,U,51996,999,574,.37431349E-2,.77097E-3,0
STARLINK-3589,2022-025AT,2026-06-28T14:00:01.000224,15.16079694,.00030469,53.1590,240.9867,57.3894,155.9248,0,U,51997,999,579,.38619153E-2,.7572E-3,0
STARLINK-3618,2022-025AU,2026-06-28T14:00:01.000224,15.12677953,.00007077,53.1603,241.1008,107.5519,266.9660,0,U,51998,999,579,.43558018E-2,.77631E-3,0
STARLINK-3653,2022-025AW,2026-06-28T10:29:02.251968,15.08788895,.00013577,53.1590,241.7053,85.3372,274.7775,0,U,52000,999,23764,-.3004629E-3,-.506E-4,0
STARLINK-3659,2022-025AX,2026-06-28T09:08:42.258624,15.10505793,.00019051,53.1611,242.0380,43.7790,316.3353,0,U,52001,999,23763,.13569214E-1,.233343E-2,0
STARLINK-3668,2022-025AY,2026-06-28T10:44:54.093984,15.08846045,.00008673,53.1584,241.7822,89.0016,271.1075,0,U,52002,999,23764,.3421956E-5,-.233E-5,0
YAOGAN-34 02,2022-027A,2026-06-28T14:50:41.628768,13.45460413,.00530451,63.3952,171.7387,353.6428,6.3919,0,U,52084,999,21045,.30456187E-4,-.72E-6,0
STARLINK-3712,2022-029C,2026-06-28T15:11:10.875264,15.08835474,.00011121,53.1596,310.9107,95.6136,264.4982,0,U,52090,999,23740,.9590183E-4,.1239E-4,0
STARLINK-3716,2022-029E,2026-06-28T15:16:29.044128,15.08824965,.00011623,53.1610,310.8946,95.8162,264.2962,0,U,52092,999,23740,.19482667E-3,.2813E-4,0
STARLINK-3673,2022-029F,2026-06-28T14:00:01.000224,15.29566859,.00017912,53.1613,309.7669,66.9468,49.2344,0,U,52093,999,580,.11386668E-2,.32861E-3,0
STARLINK-3714,2022-029G,2026-06-28T15:05:53.083968,15.08834506,.0000936,53.1605,310.9280,91.4780,268.6319,0,U,52094,999,23740,.46685946E-4,.455E-5,0
STARLINK-3701,2022-029H,2026-06-28T14:00:01.000224,15.26523573,.00009665,53.1608,309.8906,84.5520,7.7797,0,U,52095,999,574,.97050644E-3,.25429E-3,0
STARLINK-3717,2022-029J,2026-06-28T14:00:01.000224,15.17892587,.0001473,53.1608,300.7900,65.4493,38.9231,0,U,52096,999,579,.79361494E-3,.16004E-3,0
STARLINK-3665,2022-029L,2026-06-28T14:55:17.080608,15.08836686,.00012334,53.1595,310.9604,90.5827,269.5306,0,U,52098,999,23740,.13925005E-3,.1929E-4,0
STARLINK-3702,2022-029N,2026-06-28T14:00:01.000224,15.28192171,.0001082,53.1611,309.9773,70.3945,358.3987,0,U,52100,999,579,.93151786E-3,.25675E-3,0
STARLINK-3703,2022-029P,2026-06-28T15:00:36.838368,15.08836142,.00011285,53.1597,311.1360,95.7327,264.3793,0,U,52101,999,23739,.97052328E-4,.1257E-4,0
